event_id,trip_id,time_s,label,pred_label,error_type,pothole_confidence,speed_mean,vertical_energy
41,178e7720-4939-4df4-b9af-2a0a7e15ece3,1775973146.76,Non-Event,Pothole,FALSE_POSITIVE (Model Over-sensitive),0.1971922,5.1693554,57150.49859905255
427,c72307ef-f384-4659-aded-5319b398f560,1776412676.82,Non-Event,Pothole,FALSE_POSITIVE (Model Over-sensitive),0.18997808,7.5197673,61908.94222094104
517,40a7a6c4-b8d9-447a-ba96-8503647f43bb,1776413806.58,Non-Event,Pothole,FALSE_POSITIVE (Model Over-sensitive),0.18720514,5.857365,47943.8267759047
121,cc249e1a-62c0-4274-812f-0019a041760e,1775974083.46,Non-Event,Pothole,FALSE_POSITIVE (Model Over-sensitive),0.18706015,5.0020704,33162.59701077452
314,606f1311-3f3f-40aa-9c26-05d27f54675c,1776329095.39,Non-Event,Pothole,FALSE_POSITIVE (Model Over-sensitive),0.18635574,18.949936,46631.32624521129
561,2403297f-866d-495e-a41b-b29966866b69,1776417392.11,Non-Event,Pothole,FALSE_POSITIVE (Model Over-sensitive),0.18092594,7.793902,55723.12838480894
61,cc249e1a-62c0-4274-812f-0019a041760e,1775973436.42,Non-Event,Pothole,FALSE_POSITIVE (Model Over-sensitive),0.18079819,8.892408,57973.12142200487
494,c72307ef-f384-4659-aded-5319b398f560,1776413471.38,Non-Event,Pothole,FALSE_POSITIVE (Model Over-sensitive),0.1805506,3.447079,46570.408275642825
501,40a7a6c4-b8d9-447a-ba96-8503647f43bb,1776413666.29,Non-Event,Pothole,FALSE_POSITIVE (Model Over-sensitive),0.17603992,0.00244016,27383.19611546785
609,2403297f-866d-495e-a41b-b29966866b69,1776417948.26,Non-Event,Pothole,FALSE_POSITIVE (Model Over-sensitive),0.17590559,12.597897,101035.29037816648
515,40a7a6c4-b8d9-447a-ba96-8503647f43bb,1776413798.85,Non-Event,Pothole,FALSE_POSITIVE (Model Over-sensitive),0.17547512,5.461398,46987.71478800281
446,c72307ef-f384-4659-aded-5319b398f560,1776412862.71,Non-Event,Pothole,FALSE_POSITIVE (Model Over-sensitive),0.17455038,5.384808,39917.54831092745
448,c72307ef-f384-4659-aded-5319b398f560,1776412885.16,Non-Event,Pothole,FALSE_POSITIVE (Model Over-sensitive),0.17417933,8.772349,52758.758815714806
405,44eda033-50cf-4664-89ef-2aa88372c53f,1776330570.43,Non-Event,Pothole,FALSE_POSITIVE (Model Over-sensitive),0.17257638,8.085454,84231.45983728452
610,2403297f-866d-495e-a41b-b29966866b69,1776417966.71,Non-Event,Pothole,FALSE_POSITIVE (Model Over-sensitive),0.17234395,13.107293,102129.8661593481
42,178e7720-4939-4df4-b9af-2a0a7e15ece3,1775973177.39,Non-Event,Pothole,FALSE_POSITIVE (Model Over-sensitive),0.170078,6.7403836,26293.2378095452
288,7b68bd61-6146-4cdb-8ad6-424ae6e78950,1776328452.06,Non-Event,Pothole,FALSE_POSITIVE (Model Over-sensitive),0.16916786,12.529883,30957.00009467634
398,44eda033-50cf-4664-89ef-2aa88372c53f,1776330465.81,Non-Event,Pothole,FALSE_POSITIVE (Model Over-sensitive),0.16909432,13.707379,54760.47474012914
