event_id,trip_id,label,event_start,event_peak,event_end,confidence,annotator,notes,created_at,pipeline_version
0,178e7720-4939-4df4-b9af-2a0a7e15ece3,Non-Event,1775972208.355,1775972208.51,1775972208.665,1.0,manual,migrated,2026-05-25 23:40:35,05_pipeline_experiment
1,178e7720-4939-4df4-b9af-2a0a7e15ece3,Non-Event,1775972226.66,1775972226.76,1775972226.86,1.0,manual,migrated,2026-05-25 23:40:35,05_pipeline_experiment
2,178e7720-4939-4df4-b9af-2a0a7e15ece3,Non-Event,1775972229.5450003,1775972229.65,1775972229.7549999,1.0,manual,migrated,2026-05-25 23:40:35,05_pipeline_experiment
3,178e7720-4939-4df4-b9af-2a0a7e15ece3,Non-Event,1775972235.5700002,1775972235.64,1775972235.71,1.0,manual,migrated,2026-05-25 23:40:35,05_pipeline_experiment
4,178e7720-4939-4df4-b9af-2a0a7e15ece3,Non-Event,1775972268.23,1775972268.31,1775972268.3899999,1.0,manual,migrated,2026-05-25 23:40:35,05_pipeline_experiment
6,178e7720-4939-4df4-b9af-2a0a7e15ece3,Non-Event,1775972335.02,1775972335.1,1775972335.1799998,1.0,manual,migrated,2026-05-25 23:40:35,05_pipeline_experiment
7,178e7720-4939-4df4-b9af-2a0a7e15ece3,Non-Event,1775972343.5800002,1775972343.66,1775972343.74,1.0,manual,migrated,2026-05-25 23:40:35,05_pipeline_experiment
9,178e7720-4939-4df4-b9af-2a0a7e15ece3,Non-Event,1775972363.3,1775972363.36,1775972363.4199998,1.0,manual,migrated,2026-05-25 23:40:35,05_pipeline_experiment
10,178e7720-4939-4df4-b9af-2a0a7e15ece3,Pothole,1775972418.54,1775972418.62,1775972418.6999998,1.0,manual,migrated,2026-05-25 23:40:35,05_pipeline_experiment
11,178e7720-4939-4df4-b9af-2a0a7e15ece3,Non-Event,1775972424.4250002,1775972424.48,1775972424.5349998,1.0,manual,migrated,2026-05-25 23:40:35,05_pipeline_experiment
12,178e7720-4939-4df4-b9af-2a0a7e15ece3,Non-Event,1775972522.8750002,1775972522.88,1775972522.885,1.0,manual,migrated,2026-05-25 23:40:35,05_pipeline_experiment
15,178e7720-4939-4df4-b9af-2a0a7e15ece3,Non-Event,1775972708.91,1775972708.94,1775972708.97,1.0,manual,migrated,2026-05-25 23:40:35,05_pipeline_experiment
16,178e7720-4939-4df4-b9af-2a0a7e15ece3,Non-Event,1775972790.5500002,1775972790.65,1775972790.75,1.0,manual,migrated,2026-05-25 23:40:35,05_pipeline_experiment
17,178e7720-4939-4df4-b9af-2a0a7e15ece3,Non-Event,1775972809.44,1775972809.45,1775972809.46,1.0,manual,migrated,2026-05-25 23:40:35,05_pipeline_experiment
21,178e7720-4939-4df4-b9af-2a0a7e15ece3,Non-Event,1775972858.17,1775972858.2,1775972858.23,1.0,manual,migrated,2026-05-25 23:40:35,05_pipeline_experiment
22,178e7720-4939-4df4-b9af-2a0a7e15ece3,Non-Event,1775972888.44,1775972888.46,1775972888.48,1.0,manual,migrated,2026-05-25 23:40:35,05_pipeline_experiment
24,178e7720-4939-4df4-b9af-2a0a7e15ece3,Non-Event,1775972910.6550002,1775972910.7,1775972910.745,1.0,manual,migrated,2026-05-25 23:40:35,05_pipeline_experiment
25,178e7720-4939-4df4-b9af-2a0a7e15ece3,Non-Event,1775972915.8,1775972915.86,1775972915.9199998,1.0,manual,migrated,2026-05-25 23:40:35,05_pipeline_experiment
26,178e7720-4939-4df4-b9af-2a0a7e15ece3,Non-Event,1775972927.4650002,1775972927.52,1775972927.5749998,1.0,manual,migrated,2026-05-25 23:40:35,05_pipeline_experiment
27,178e7720-4939-4df4-b9af-2a0a7e15ece3,Non-Event,1775972953.9250002,1775972954.02,1775972954.1149998,1.0,manual,migrated,2026-05-25 23:40:35,05_pipeline_experiment
28,178e7720-4939-4df4-b9af-2a0a7e15ece3,Non-Event,1775972979.755,1775972979.81,1775972979.8649998,1.0,manual,migrated,2026-05-25 23:40:35,05_pipeline_experiment
29,178e7720-4939-4df4-b9af-2a0a7e15ece3,Non-Event,1775972984.9050002,1775972985.01,1775972985.1149998,1.0,manual,migrated,2026-05-25 23:40:35,05_pipeline_experiment
30,178e7720-4939-4df4-b9af-2a0a7e15ece3,Non-Event,1775973007.8600001,1775973007.91,1775973007.96,1.0,manual,migrated,2026-05-25 23:40:35,05_pipeline_experiment
32,178e7720-4939-4df4-b9af-2a0a7e15ece3,Non-Event,1775973030.16,1775973030.22,1775973030.28,1.0,manual,migrated,2026-05-25 23:40:35,05_pipeline_experiment
33,178e7720-4939-4df4-b9af-2a0a7e15ece3,Non-Event,1775973048.22,1775973048.32,1775973048.4199998,1.0,manual,migrated,2026-05-25 23:40:35,05_pipeline_experiment
34,178e7720-4939-4df4-b9af-2a0a7e15ece3,Pothole,1775973053.8600001,1775973054.03,1775973054.1999998,1.0,manual,migrated,2026-05-25 23:40:35,05_pipeline_experiment
35,178e7720-4939-4df4-b9af-2a0a7e15ece3,Pothole,1775973061.1750002,1775973061.24,1775973061.3049998,1.0,manual,migrated,2026-05-25 23:40:35,05_pipeline_experiment
36,178e7720-4939-4df4-b9af-2a0a7e15ece3,Pothole,1775973066.145,1775973066.3,1775973066.455,1.0,manual,migrated,2026-05-25 23:40:35,05_pipeline_experiment
37,178e7720-4939-4df4-b9af-2a0a7e15ece3,Pothole,1775973071.69,1775973071.8,1775973071.9099998,1.0,manual,migrated,2026-05-25 23:40:35,05_pipeline_experiment
38,178e7720-4939-4df4-b9af-2a0a7e15ece3,Non-Event,1775973079.535,1775973079.58,1775973079.6249998,1.0,manual,migrated,2026-05-25 23:40:35,05_pipeline_experiment
39,178e7720-4939-4df4-b9af-2a0a7e15ece3,Pothole,1775973087.0050004,1775973087.22,1775973087.4349997,1.0,manual,migrated,2026-05-25 23:40:35,05_pipeline_experiment
41,178e7720-4939-4df4-b9af-2a0a7e15ece3,Non-Event,1775973110.01,1775973110.12,1775973110.2299998,1.0,manual,migrated,2026-05-25 23:40:35,05_pipeline_experiment
44,178e7720-4939-4df4-b9af-2a0a7e15ece3,Pothole,1775973146.5350003,1775973146.65,1775973146.7649999,1.0,manual,migrated,2026-05-25 23:40:35,05_pipeline_experiment
46,178e7720-4939-4df4-b9af-2a0a7e15ece3,Non-Event,1775973177.3650002,1775973177.39,1775973177.415,1.0,manual,migrated,2026-05-25 23:40:35,05_pipeline_experiment
47,178e7720-4939-4df4-b9af-2a0a7e15ece3,Non-Event,1775973189.91,1775973190.05,1775973190.1899998,1.0,manual,migrated,2026-05-25 23:40:35,05_pipeline_experiment
48,178e7720-4939-4df4-b9af-2a0a7e15ece3,Pothole,1775973193.6150002,1775973193.68,1775973193.745,1.0,manual,migrated,2026-05-25 23:40:35,05_pipeline_experiment
49,178e7720-4939-4df4-b9af-2a0a7e15ece3,Pothole,1775973204.4,1775973204.54,1775973204.6799998,1.0,manual,migrated,2026-05-25 23:40:35,05_pipeline_experiment
51,178e7720-4939-4df4-b9af-2a0a7e15ece3,Non-Event,1775973235.1350002,1775973235.24,1775973235.3449998,1.0,manual,migrated,2026-05-25 23:40:35,05_pipeline_experiment
53,178e7720-4939-4df4-b9af-2a0a7e15ece3,Pothole,1775973254.2800002,1775973254.39,1775973254.5,1.0,manual,migrated,2026-05-25 23:40:35,05_pipeline_experiment
54,178e7720-4939-4df4-b9af-2a0a7e15ece3,Non-Event,1775973263.44,1775973263.54,1775973263.6399999,1.0,manual,migrated,2026-05-25 23:40:35,05_pipeline_experiment
55,178e7720-4939-4df4-b9af-2a0a7e15ece3,Pothole,1775973268.8250003,1775973268.9,1775973268.975,1.0,manual,migrated,2026-05-25 23:40:35,05_pipeline_experiment
56,178e7720-4939-4df4-b9af-2a0a7e15ece3,Non-Event,1775973280.065,1775973280.12,1775973280.1749997,1.0,manual,migrated,2026-05-25 23:40:35,05_pipeline_experiment
597,2403297f-866d-495e-a41b-b29966866b69,Non-Event,1776417308.17,1776417308.27,1776417308.37,1.0,manual,migrated,2026-05-25 23:40:35,05_pipeline_experiment
598,2403297f-866d-495e-a41b-b29966866b69,Non-Event,1776417321.4950001,1776417321.52,1776417321.5449998,1.0,manual,migrated,2026-05-25 23:40:35,05_pipeline_experiment
598,2403297f-866d-495e-a41b-b29966866b69,Non-Event,1776417321.4950001,1776417321.52,1776417321.5449998,1.0,manual,migrated,2026-05-25 23:40:35,05_pipeline_experiment
599,2403297f-866d-495e-a41b-b29966866b69,Non-Event,1776417332.0700002,1776417332.14,1776417332.21,1.0,manual,migrated,2026-05-25 23:40:35,05_pipeline_experiment
600,2403297f-866d-495e-a41b-b29966866b69,Non-Event,1776417339.3650002,1776417339.48,1776417339.5949998,1.0,manual,migrated,2026-05-25 23:40:35,05_pipeline_experiment
601,2403297f-866d-495e-a41b-b29966866b69,Non-Event,1776417383.005,1776417383.04,1776417383.0749998,1.0,manual,migrated,2026-05-25 23:40:35,05_pipeline_experiment
602,2403297f-866d-495e-a41b-b29966866b69,Non-Event,1776417392.0700002,1776417392.17,1776417392.27,1.0,manual,migrated,2026-05-25 23:40:35,05_pipeline_experiment
603,2403297f-866d-495e-a41b-b29966866b69,Non-Event,1776417403.05,1776417403.07,1776417403.09,1.0,manual,migrated,2026-05-25 23:40:35,05_pipeline_experiment
608,2403297f-866d-495e-a41b-b29966866b69,Non-Event,1776417446.0650003,1776417446.16,1776417446.2549999,1.0,manual,migrated,2026-05-25 23:40:35,05_pipeline_experiment
609,2403297f-866d-495e-a41b-b29966866b69,Non-Event,1776417454.3600001,1776417454.41,1776417454.46,1.0,manual,migrated,2026-05-25 23:40:35,05_pipeline_experiment
610,2403297f-866d-495e-a41b-b29966866b69,Non-Event,1776417471.67,1776417471.72,1776417471.77,1.0,manual,migrated,2026-05-25 23:40:35,05_pipeline_experiment
612,2403297f-866d-495e-a41b-b29966866b69,Pothole,1776417481.2849998,1776417481.34,1776417481.395,1.0,manual,migrated,2026-05-25 23:40:35,05_pipeline_experiment
613,2403297f-866d-495e-a41b-b29966866b69,Pothole,1776417499.7450001,1776417499.82,1776417499.8949997,1.0,manual,migrated,2026-05-25 23:40:35,05_pipeline_experiment
614,2403297f-866d-495e-a41b-b29966866b69,Pothole,1776417504.3700001,1776417504.53,1776417504.6899998,1.0,manual,migrated,2026-05-25 23:40:35,05_pipeline_experiment
615,2403297f-866d-495e-a41b-b29966866b69,Non-Event,1776417509.4,1776417509.54,1776417509.6799998,1.0,manual,migrated,2026-05-25 23:40:35,05_pipeline_experiment
616,2403297f-866d-495e-a41b-b29966866b69,Pothole,1776417514.4450004,1776417514.63,1776417514.8149998,1.0,manual,migrated,2026-05-25 23:40:35,05_pipeline_experiment
618,2403297f-866d-495e-a41b-b29966866b69,Non-Event,1776417525.7150002,1776417525.83,1776417525.9449997,1.0,manual,migrated,2026-05-25 23:40:35,05_pipeline_experiment
619,2403297f-866d-495e-a41b-b29966866b69,Non-Event,1776417546.4250002,1776417546.65,1776417546.875,1.0,manual,migrated,2026-05-25 23:40:35,05_pipeline_experiment
621,2403297f-866d-495e-a41b-b29966866b69,Pothole,1776417566.65,1776417566.75,1776417566.85,1.0,manual,migrated,2026-05-25 23:40:35,05_pipeline_experiment
622,2403297f-866d-495e-a41b-b29966866b69,Non-Event,1776417572.7250001,1776417572.79,1776417572.8549998,1.0,manual,migrated,2026-05-25 23:40:35,05_pipeline_experiment
623,2403297f-866d-495e-a41b-b29966866b69,Non-Event,1776417581.15,1776417581.21,1776417581.27,1.0,manual,migrated,2026-05-25 23:40:35,05_pipeline_experiment
624,2403297f-866d-495e-a41b-b29966866b69,Non-Event,1776417600.79,1776417600.82,1776417600.85,1.0,manual,migrated,2026-05-25 23:40:35,05_pipeline_experiment
625,2403297f-866d-495e-a41b-b29966866b69,Pothole,1776417606.275,1776417606.4,1776417606.525,1.0,manual,migrated,2026-05-25 23:40:35,05_pipeline_experiment
626,2403297f-866d-495e-a41b-b29966866b69,Pothole,1776417616.8250003,1776417616.9,1776417616.975,1.0,manual,migrated,2026-05-25 23:40:35,05_pipeline_experiment
628,2403297f-866d-495e-a41b-b29966866b69,Non-Event,1776417623.92,1776417624.07,1776417624.2199998,1.0,manual,migrated,2026-05-25 23:40:35,05_pipeline_experiment
629,2403297f-866d-495e-a41b-b29966866b69,Non-Event,1776417628.515,1776417628.56,1776417628.6049998,1.0,manual,migrated,2026-05-25 23:40:35,05_pipeline_experiment
630,2403297f-866d-495e-a41b-b29966866b69,Pothole,1776417641.1000001,1776417641.26,1776417641.4199998,1.0,manual,migrated,2026-05-25 23:40:35,05_pipeline_experiment
631,2403297f-866d-495e-a41b-b29966866b69,Non-Event,1776417657.66,1776417657.76,1776417657.86,1.0,manual,migrated,2026-05-25 23:40:35,05_pipeline_experiment
632,2403297f-866d-495e-a41b-b29966866b69,Pothole,1776417678.3650002,1776417678.41,1776417678.455,1.0,manual,migrated,2026-05-25 23:40:35,05_pipeline_experiment
633,2403297f-866d-495e-a41b-b29966866b69,Pothole,1776417687.24,1776417687.32,1776417687.3999999,1.0,manual,migrated,2026-05-25 23:40:35,05_pipeline_experiment
634,2403297f-866d-495e-a41b-b29966866b69,Non-Event,1776417697.5150003,1776417697.67,1776417697.8249998,1.0,manual,migrated,2026-05-25 23:40:35,05_pipeline_experiment
