feature,class_a,class_b,cohen_d,abs_cohen_d
accel_to_gyro_ratio,Non-Event,Pothole,-0.3915502782742432,0.3915502782742432
accel_to_gyro_ratio,Non-Event,Speed Bump,,
accel_to_gyro_ratio,Pothole,Speed Bump,,
asymmetry_score,Non-Event,Pothole,-0.04699266984779915,0.04699266984779915
asymmetry_score,Non-Event,Speed Bump,,
asymmetry_score,Pothole,Speed Bump,,
duration_above_threshold,Non-Event,Pothole,-0.7240668308098673,0.7240668308098673
duration_above_threshold,Non-Event,Speed Bump,,
duration_above_threshold,Pothole,Speed Bump,,
event_duration,Non-Event,Pothole,-0.7240668308098673,0.7240668308098673
event_duration,Non-Event,Speed Bump,,
event_duration,Pothole,Speed Bump,,
fft_high_low_ratio,Non-Event,Pothole,0.6090621159877978,0.6090621159877978
fft_high_low_ratio,Non-Event,Speed Bump,,
fft_high_low_ratio,Pothole,Speed Bump,,
gyro_energy,Non-Event,Pothole,-0.5743130178073128,0.5743130178073128
gyro_energy,Non-Event,Speed Bump,,
gyro_energy,Pothole,Speed Bump,,
gyro_pitch_energy,Non-Event,Pothole,-0.23363005600121667,0.23363005600121667
gyro_pitch_energy,Non-Event,Speed Bump,,
gyro_pitch_energy,Pothole,Speed Bump,,
gyro_pitch_roll_ratio,Non-Event,Pothole,0.3556079472913541,0.3556079472913541
gyro_pitch_roll_ratio,Non-Event,Speed Bump,,
gyro_pitch_roll_ratio,Pothole,Speed Bump,,
gyro_roll_energy,Non-Event,Pothole,-0.6305730261770747,0.6305730261770747
gyro_roll_energy,Non-Event,Speed Bump,,
gyro_roll_energy,Pothole,Speed Bump,,
gyro_yaw_energy,Non-Event,Pothole,-0.6163875238662447,0.6163875238662447
gyro_yaw_energy,Non-Event,Speed Bump,,
gyro_yaw_energy,Pothole,Speed Bump,,
kurtosis,Non-Event,Pothole,-0.7255001353697972,0.7255001353697972
kurtosis,Non-Event,Speed Bump,,
kurtosis,Pothole,Speed Bump,,
local_duration,Non-Event,Pothole,0.005106540491439458,0.005106540491439458
local_duration,Non-Event,Speed Bump,,
local_duration,Pothole,Speed Bump,,
max_jerk,Non-Event,Pothole,-0.876809664796774,0.876809664796774
max_jerk,Non-Event,Speed Bump,,
max_jerk,Pothole,Speed Bump,,
num_peaks_accel,Non-Event,Pothole,-0.43573850782605755,0.43573850782605755
num_peaks_accel,Non-Event,Speed Bump,,
num_peaks_accel,Pothole,Speed Bump,,
num_peaks_gyro,Non-Event,Pothole,-0.29545025423654997,0.29545025423654997
num_peaks_gyro,Non-Event,Speed Bump,,
num_peaks_gyro,Pothole,Speed Bump,,
peak_gyro_mag,Non-Event,Pothole,-1.089274824745733,1.089274824745733
peak_gyro_mag,Non-Event,Speed Bump,,
peak_gyro_mag,Pothole,Speed Bump,,
peak_interval_mean,Non-Event,Pothole,0.1150152369425985,0.1150152369425985
peak_interval_mean,Non-Event,Speed Bump,,
peak_interval_mean,Pothole,Speed Bump,,
peak_interval_std,Non-Event,Pothole,-0.19651903995207143,0.19651903995207143
peak_interval_std,Non-Event,Speed Bump,,
peak_interval_std,Pothole,Speed Bump,,
peak_mag_g,Non-Event,Pothole,-0.9885848108179758,0.9885848108179758
peak_mag_g,Non-Event,Speed Bump,,
peak_mag_g,Pothole,Speed Bump,,
peak_to_peak,Non-Event,Pothole,-1.0305122850102157,1.0305122850102157
peak_to_peak,Non-Event,Speed Bump,,
peak_to_peak,Pothole,Speed Bump,,
score,Non-Event,Pothole,-1.1288815487778825,1.1288815487778825
score,Non-Event,Speed Bump,,
score,Pothole,Speed Bump,,
skewness,Non-Event,Pothole,-0.2935551789123892,0.2935551789123892
skewness,Non-Event,Speed Bump,,
skewness,Pothole,Speed Bump,,
speed_mean,Non-Event,Pothole,0.1435471079705014,0.1435471079705014
speed_mean,Non-Event,Speed Bump,,
speed_mean,Pothole,Speed Bump,,
top2_peak_ratio,Non-Event,Pothole,-0.2590875718287964,0.2590875718287964
top2_peak_ratio,Non-Event,Speed Bump,,
top2_peak_ratio,Pothole,Speed Bump,,
vert_jrk,Non-Event,Pothole,-0.876809664796774,0.876809664796774
vert_jrk,Non-Event,Speed Bump,,
vert_jrk,Pothole,Speed Bump,,
vertical_energy,Non-Event,Pothole,-0.7184212956049096,0.7184212956049096
vertical_energy,Non-Event,Speed Bump,,
vertical_energy,Pothole,Speed Bump,,
zcr,Non-Event,Pothole,0.20973243707574524,0.20973243707574524
zcr,Non-Event,Speed Bump,,
zcr,Pothole,Speed Bump,,
