event_id,time_s,lat,lon,peak_mag,peak_vertical,peak_mag_g,peak_vertical_g,peak_gyro_mag,speed_mean,event_duration,vert_jrk,level,num_peaks_accel,num_peaks_gyro,peak_interval_mean,peak_interval_std,asymmetry_score,vertical_energy,gyro_energy,accel_to_gyro_ratio,local_duration,top2_peak_ratio,duration_above_threshold,max_jerk,peak_to_peak,fft_high_low_ratio,zcr,kurtosis,skewness,gyro_pitch_energy,gyro_roll_energy,gyro_yaw_energy,gyro_pitch_roll_ratio,trip_id,suggested_label,suggested_raw_label,suggested_kind,suggestion_confidence,suggestion_rule,suggestion_reason,needs_review,speed_factor,score,priority
0,1775972265.827,-6.8990167,109.406905,83.47067,-38.11863536924246,8.511639550713037,-3.8870190502610438,3.4188748510005103,9.420446,0.09000205993652344,23.352052239363566,normal,2,4,1.4260001182556152,0.0,0.13953230861753227,32137.84752675797,842.397094903004,38.15047283883136,1.4260001182556152,0.8423109188142485,0.09000205993652344,7909.0748789301915,61.1785421100358,42.19642224897469,0.37092731829573933,0.9605969521192064,-0.19581085299716303,201.28200899982517,518.9941671865523,122.12091871662653,0.3878309648509854,178e7720-4939-4df4-b9af-2a0a7e15ece3,Non-Event,Non-Event,condition_like,0.9532608695652172,ML_Ensemble(RF),Dipelajari dari data (Confidence: 95%),False,1.0,0.40054436405208355,medium
1,1775972266.967,-6.8979053,109.4069794,33.495884,-32.01467677806613,3.4156295982827976,-3.264588496384202,1.7103892226990325,12.110078,0.03499913215637207,39.546279516440386,normal,2,4,0.7820000648498535,0.0,0.16733389944167437,36219.53150690523,823.2889420810612,43.99370574728956,0.7820000648498535,0.9407658763620355,0.03499913215637207,7909.452022360591,67.95726069658211,105.85291444732158,0.36523929471032746,0.5592272744454259,-0.19470507134137052,176.72837855921443,517.7044980316386,128.8560654902081,0.34136921523723124,178e7720-4939-4df4-b9af-2a0a7e15ece3,Non-Event,Non-Event,condition_like,0.8999275362318839,ML_Ensemble(RF),Dipelajari dari data (Confidence: 90%),False,1.0,0.2834508736762738,low
2,1775972285.40625,-6.8968191,109.4070534,80.0231,-43.705264325499755,8.160085248275406,-4.456696662519796,2.7279287367834133,11.824939,0.025000572204589844,40.45504377788102,normal,2,3,1.0349998474121094,0.0,0.07337585381737097,49519.876967221615,1217.5613486726459,40.67136081523576,1.0349998474121094,0.9003823133944049,0.025000572204589844,9880.509153308061,75.52457013104035,43.19917318840896,0.40703517587939697,0.7964915981163201,-0.17907316109052143,307.5808794044103,769.1906622866497,140.7898069815859,0.3998759918511725,178e7720-4939-4df4-b9af-2a0a7e15ece3,Speed Bump,Speed Bump,event,0.6928695652173914,ML_Ensemble(RF),Dipelajari dari data (Confidence: 69%),True,1.0,0.42390870043490636,medium
3,1775972289.292,-6.8957427,109.4071277,61.717308,-35.69719936025206,6.29341395889524,-3.640101294555435,2.195266510479138,9.986261,0.03500080108642578,36.179157290193785,normal,1,4,0.0,0.0,0.14340307882309197,36464.609636339,1032.3171735216274,35.32306788680193,0.1,0.0,0.03500080108642578,7235.6658467904335,60.508330865329675,91.08899814639801,0.42462311557788945,0.5834589199585127,-0.33897602750298644,250.8872857283128,614.2927766919257,167.13711110138902,0.4084164666089163,178e7720-4939-4df4-b9af-2a0a7e15ece3,Non-Event,Non-Event,condition_like,0.8619275362318841,ML_Ensemble(RF),Dipelajari dari data (Confidence: 86%),False,1.0,0.3334097269407757,medium
4,1775972293.339,-6.8957427,109.4071277,60.12958,-32.45130848036561,6.131510760555337,-3.309112538977695,2.1897322759346634,9.986261,0.024999380111694336,29.881963232873005,normal,1,1,0.0,0.0,0.01905588072068147,31734.49282888419,708.3355816505236,44.80149466745235,0.1,0.0,0.024999380111694336,5976.540838085555,61.97736393680513,169.75138323628454,0.37844611528822053,0.09040187164479097,-0.01967108337821745,246.76690519139186,341.4944854990315,120.07419096010032,0.7226087534273902,178e7720-4939-4df4-b9af-2a0a7e15ece3,Non-Event,Non-Event,condition_like,0.9965942028985506,ML_Ensemble(RF),Dipelajari dari data (Confidence: 100%),False,1.0,0.3026861578808584,medium
5,1775972297.533,-6.8947717,109.4071633,75.091896,-31.035805027176462,7.657242381445244,-3.164771356903373,2.2859363214282675,10.447317,0.07000160217285156,33.90163183430461,normal,1,6,0.0,0.0,0.06768717931560138,26912.493154425447,679.2011068920955,39.62374743166795,0.1,0.0,0.07000160217285156,6780.171181058133,52.68002527555127,220.01278430761963,0.4166666666666667,0.16236046646558133,-0.1826658789131687,213.95257967246857,367.75820570253575,97.49032151709127,0.5817751331529791,178e7720-4939-4df4-b9af-2a0a7e15ece3,Non-Event,Non-Event,condition_like,0.9952608695652172,ML_Ensemble(RF),Dipelajari dari data (Confidence: 100%),False,1.0,0.2962774196652097,low
6,1775972300.113,-6.8947717,109.4071633,85.08956,-32.547040725878475,8.676720388715822,-3.31887451126312,3.1908999381120946,10.447317,0.060001373291015625,34.566730094073904,normal,1,4,0.0,0.0,0.19834291021786116,28163.367958695562,673.6290833688083,41.80842040851709,0.1,0.0,0.060001373291015625,6913.18778850346,55.76591651736091,57.90786805581313,0.44221105527638194,0.3061558151545887,-0.415635615396246,183.56291182040468,399.82896973347584,90.23720181492777,0.4591035799223435,178e7720-4939-4df4-b9af-2a0a7e15ece3,Non-Event,Non-Event,condition_like,0.9952608695652172,ML_Ensemble(RF),Dipelajari dari data (Confidence: 100%),False,1.0,0.33956214028091014,medium
7,1775972312.118,-6.8940283,109.4072067,93.02455,-31.70443920414746,9.485864183997595,-3.232953067984221,2.0005514385101426,5.6856217,0.2900066375732422,39.692170515932034,normal,3,3,0.1809999942779541,0.021000146865844727,0.3715828093204271,24065.13371829671,772.1430887708475,31.166676276852563,0.3619999885559082,0.8802674237379963,0.2900066375732422,7938.25241100781,57.5630338080719,5.2718539018980035,0.3256997455470738,2.1473071525844656,-0.3328461965852499,186.93838660513887,461.9534382409646,123.25126392474394,0.4046693253594934,178e7720-4939-4df4-b9af-2a0a7e15ece3,Speed Bump,Speed Bump,event,0.5704409937888199,ML_Ensemble(RF)_LOW_CONF,"ML ragu-ragu (Conf: 57%), pakai tebakan terbaik ML",True,1.0,0.30940132188691116,medium
8,1775972418.472,-6.8941433,109.4176217,71.87033,-34.973709891506374,7.328734073307398,-3.566325900435559,2.6277667737132324,9.365886,0.1450033187866211,52.07473227133404,normal,2,3,0.23100018501281738,0.0,0.27792572116676234,20022.159106562165,512.8266010792415,39.042746662093705,0.23100018501281738,0.8316859193974544,0.1450033187866211,10414.708080516188,61.74357926924996,115.29064313218718,0.37373737373737376,1.8378063299866945,-0.2137567354364679,109.82358836125712,332.81980966992626,70.1832030480581,0.32997912035403015,178e7720-4939-4df4-b9af-2a0a7e15ece3,Pothole,Pothole,event,0.6430124223602485,ML_Ensemble(RF)_LOW_CONF,"ML ragu-ragu (Conf: 64%), pakai tebakan terbaik ML",True,1.0,0.349436805738638,medium
9,1775972924.8395,-6.8923073,109.4395359,36.72497,-33.3137019227574,3.7449047330128025,-3.397052196494971,2.5314817713294424,13.983735,0.03500080108642578,37.358207162588194,normal,1,3,0.0,0.0,0.09744487723271097,30837.47771803427,610.3886159703642,50.52105635766059,0.1,0.0,0.03500080108642578,7471.470424130856,54.268199872809845,74.07033902380697,0.4949748743718593,0.3794508352305188,-0.6115152113948744,152.35319767556462,374.15852219199587,83.87689610280367,0.40718890051152473,178e7720-4939-4df4-b9af-2a0a7e15ece3,Non-Event,Non-Event,condition_like,0.9505855448898926,ML_Ensemble(RF),Dipelajari dari data (Confidence: 95%),False,1.0,0.3227424834770108,medium
10,1775972955.9885,-6.8921375,109.4433722,76.310745,-29.782075268169983,7.7815303900924375,-3.036926500708191,2.3548094723883715,14.374064,0.04000091552734375,20.663648498036572,normal,3,5,0.9149999618530273,0.03500008583068848,0.49953477342454616,19461.37608164303,423.8043565974002,45.92066063683724,1.8299999237060547,0.8958557221994208,0.04000091552734375,6073.745378126534,47.77209974206106,51.82006344024087,0.42065491183879095,1.2275096585820169,-0.7642849493558889,109.16769500359639,254.89669484918664,59.73996674461724,0.4282821110721147,178e7720-4939-4df4-b9af-2a0a7e15ece3,Non-Event,Non-Event,condition_like,0.8433333333333333,ML_Ensemble(RF),Dipelajari dari data (Confidence: 84%),False,1.0,0.28481710280790035,low
11,1775972966.128,-6.8922577,109.4448662,50.24565,-35.587765888433594,5.123630393661444,-3.6289421860098603,1.897592157635236,18.682701,0.029999256134033203,47.45496046929486,normal,1,4,0.0,0.0,0.3894718225982944,26326.467431614026,583.2463226230685,45.137819760400056,0.1,0.0,0.029999256134033203,9491.227433894679,59.79421455457704,15.906972548982996,0.3693467336683417,0.634419301308708,-0.3871655040012332,146.72579949523023,366.12182959963343,70.39869352820482,0.40075676245506336,178e7720-4939-4df4-b9af-2a0a7e15ece3,Non-Event,Non-Event,condition_like,0.7951093544137022,ML_Ensemble(RF),Dipelajari dari data (Confidence: 80%),True,1.0,0.3221078128721145,medium
12,1775973027.72,-6.8939047,109.4527191,50.29167,-30.025730459071696,5.1283231276735695,-3.061772415562062,1.2874148717002611,8.3444605,0.0800018310546875,21.232847255623994,normal,2,2,0.937999963760376,0.0,0.025744353294857726,22450.099770717403,419.00775659815736,53.5791983886079,0.937999963760376,0.9561004689703032,0.0800018310546875,5228.507750187991,51.99924834810356,64.08978278478347,0.3844221105527638,0.5730673676476834,-0.24008826720887247,139.93662725216848,206.5390252268421,72.5321041191468,0.677531165942827,178e7720-4939-4df4-b9af-2a0a7e15ece3,Non-Event,Non-Event,condition_like,0.9275151515151516,ML_Ensemble(RF),Dipelajari dari data (Confidence: 93%),False,1.0,0.25447348378636253,low
13,1775973032.319,-6.8934909,109.4529924,83.82652,-32.71291459064963,8.547926152151858,-3.335788938184766,3.2376317973421966,9.682491,0.07000160217285156,30.661407635585753,normal,1,4,0.0,0.0,0.331865017998838,28377.519572121368,650.9356051374396,43.59497207490244,0.1,0.0,0.07000160217285156,6132.141173544148,62.66781103769871,20.929388132425036,0.3813131313131313,0.7948993966721769,-0.4475916126515106,146.18457843308693,415.9244564166068,88.82657028774582,0.35146906085078455,178e7720-4939-4df4-b9af-2a0a7e15ece3,Non-Event,Non-Event,condition_like,0.9734426877470355,ML_Ensemble(RF),Dipelajari dari data (Confidence: 97%),False,1.0,0.3433921845109994,medium
14,1775973053.9835,-6.8917017,109.4536683,56.028313,46.141519711579306,5.713297915190203,4.705125574133808,2.695067535505836,9.072494,0.10499739646911621,32.22888445033411,normal,2,3,0.17600011825561523,0.0,0.4570971026343377,24745.177906580862,667.8331465339875,37.052934551023505,0.17600011825561523,0.6843830074875786,0.10499739646911621,6445.936720498505,76.21674358922584,10.91990491102639,0.29974811083123426,3.8699935084974317,0.33371424425633284,173.61381407076829,391.71001356896625,102.50931889425294,0.44322025889945954,178e7720-4939-4df4-b9af-2a0a7e15ece3,Speed Bump,Speed Bump,event,0.5435714285714286,ML_Ensemble(RF)_LOW_CONF,"ML ragu-ragu (Conf: 54%), pakai tebakan terbaik ML",True,1.0,0.45117169092408765,medium
