event_id,time_s,lat,lon,peak_mag,peak_vertical,peak_mag_g,peak_vertical_g,peak_gyro_mag,speed_mean,event_duration,vert_jrk,level,num_peaks_accel,num_peaks_gyro,peak_interval_mean,peak_interval_std,asymmetry_score,vertical_energy,gyro_energy,accel_to_gyro_ratio,local_duration,top2_peak_ratio,duration_above_threshold,max_jerk,peak_to_peak,fft_high_low_ratio,zcr,kurtosis,skewness,gyro_pitch_energy,gyro_roll_energy,gyro_yaw_energy,gyro_pitch_roll_ratio,trip_id,suggested_label,suggested_raw_label,suggested_kind,suggestion_confidence,suggestion_rule,suggestion_reason,needs_review,speed_factor,score,priority
0,1775972269.39,-6.8979053,109.4069794,55.087761,-29.96936525958101,5.617388302835321,-3.0560247647852234,1.9913204712302401,12.110078,0.1099998950958252,32.764293365299935,normal,1,5,0.0,0.0,0.12025562003704522,12324.76799143917,308.3000063124243,39.97654135294758,0.1,0.0,0.1099998950958252,3276.432461179481,52.86274108540738,6.483026541394053,0.4975124378109453,1.333360551999835,-0.31977752650547236,100.70336250340102,167.48700280887851,40.10964100014474,0.6012607558393896,178e7720-4939-4df4-b9af-2a0a7e15ece3,Non-Event,Non-Event,condition_like,0.9762805282473007,ML_Ensemble(RF+XGB),Dipelajari dari data (Confidence: 98%),False,1.0,0.19224536710864484,low
1,1775972285.1633332,-6.8968191,109.4070534,79.840688,-35.02120494418458,8.141484400891233,-3.57116904796078,5.1228357685014,11.824939,0.09999990463256836,45.52670951518661,candidate,2,5,0.4200000762939453,0.0,0.33539106447752753,24869.976248907056,452.3642301379657,54.97776910067412,0.4200000762939453,0.9353009563049122,0.09999990463256836,5934.064906739233,64.02676311414938,15.397586848879106,0.485,1.1116498085486555,-0.12812877632624012,111.04702199440752,285.6612113304951,55.655996813063055,0.38873678749893387,178e7720-4939-4df4-b9af-2a0a7e15ece3,Non-Event,Non-Event,condition_like,0.9435867838254051,ML_Ensemble(RF+XGB),Dipelajari dari data (Confidence: 94%),False,1.0,0.415692240708895,medium
2,1775972289.52,-6.8957427,109.4071277,62.54884,-41.346257670562565,6.378206625096236,-4.216144929263568,5.861345685907909,9.986261,0.1099998950958252,43.7432794185428,candidate,1,4,0.0,0.0,0.2230887361870297,17430.194882480988,429.9015389848967,40.54462071267143,0.1,0.0,0.1099998950958252,4374.332113542468,68.10219130365633,9.036243033073477,0.4975124378109453,2.029956592452905,-0.2922316571287807,101.82288013927524,273.78813991651066,54.290518929110746,0.37190391007594903,178e7720-4939-4df4-b9af-2a0a7e15ece3,Speed Bump,Speed Bump,event,0.7228928396233127,ML_Ensemble(RF+XGB),Dipelajari dari data (Confidence: 72%),True,1.0,0.5318608524471284,high
3,1775972291.63,-6.8957427,109.4071277,53.88337,-32.528514910399366,5.4945745998888516,-3.3169854038228515,2.1896480282941595,9.986261,0.039999961853027344,41.31493603286183,normal,1,3,0.0,0.0,0.11044113005412436,13526.084862521464,304.94277094392623,44.35614189605609,0.1,0.0,0.039999961853027344,4131.497543389279,53.66029827892784,16.237846388327846,0.5522388059701493,1.5731957977544502,-0.821879324004474,85.37143406158842,173.7442282643442,45.8271086179936,0.4913627026524118,178e7720-4939-4df4-b9af-2a0a7e15ece3,Non-Event,Non-Event,condition_like,0.9246469273878858,ML_Ensemble(RF+XGB),Dipelajari dari data (Confidence: 92%),False,1.0,0.26125252876508287,low
4,1775972295.4,-6.8957427,109.4071277,36.708763,-30.391186655734995,3.743252078946429,-3.0990385764491437,1.474594439371382,9.986261,0.0,32.48561562422667,normal,0,3,0.0,0.0,0.14208234939325767,12859.293573783205,282.9751127936697,45.44319605136553,0.0,0.0,0.0,4193.427014349594,58.787055862516155,18.977814120687594,0.48258706467661694,1.404027769286352,-0.5366534563287557,80.60679311157173,154.48675688103634,47.88156280106172,0.5217715370377802,178e7720-4939-4df4-b9af-2a0a7e15ece3,Non-Event,Non-Event,condition_like,0.9497056485328799,ML_Ensemble(RF+XGB),Dipelajari dari data (Confidence: 95%),False,1.0,0.17229431986050653,low
5,1775972312.12,-6.8940283,109.4072067,86.163445,-37.77345440058068,8.7862261832532,-3.8518203872454593,1.1466919319830415,5.6856217,0.18999981880187988,46.46273982870768,normal,2,4,0.3399999141693115,0.0,0.1325589737305759,8438.032108606505,245.0904952311633,34.42823054488397,0.3399999141693115,0.5781787250290124,0.18999981880187988,4646.278413907158,59.4078667575658,5.779222816576161,0.35323383084577115,6.31186155249242,-0.9644247557767649,66.50006541476353,131.49523879509422,47.095191021305524,0.5057222262827835,178e7720-4939-4df4-b9af-2a0a7e15ece3,Non-Event,Non-Event,condition_like,0.8733526311267136,ML_Ensemble(RF+XGB),Dipelajari dari data (Confidence: 87%),False,1.0,0.3351219083254202,medium
6,1775972418.47,-6.8941433,109.4176217,75.790715,-37.729136469666166,7.728502087868947,-3.847301215977543,2.112057825746463,9.365886,0.20999979972839355,43.60667736066933,normal,2,4,0.1699998378753662,0.0,0.5811812960704145,10006.31211901256,214.31176700731635,46.690446409228244,0.1699998378753662,0.9363802581500579,0.20999979972839355,4360.671894727721,62.69917768418067,17.788466474485826,0.5422885572139303,5.427008147537514,-0.32188899921858083,53.10009097230847,132.5085410156356,28.703135019372347,0.4007295693136736,178e7720-4939-4df4-b9af-2a0a7e15ece3,Non-Event,Non-Event,condition_like,0.8735711251676472,ML_Ensemble(RF+XGB),Dipelajari dari data (Confidence: 87%),False,1.0,0.3586026861033742,medium
7,1775972955.07,-6.8921375,109.4433722,76.310745,-38.39129633159932,7.7815303900924375,-3.914822730657189,2.3548094723883715,14.374064,0.04999995231628418,36.14954933603177,normal,2,4,0.8899998664855957,0.0,0.00023389732635972633,9694.685811583662,198.68283557060312,48.7947825736754,0.8899998664855957,0.9734656182203657,0.04999995231628418,3614.95838109614,61.06019999365595,8.219686343711977,0.5223880597014925,4.269856381217197,-1.6855643274115009,54.10501614701201,121.18176066385347,23.39605875973764,0.4464782109464138,178e7720-4939-4df4-b9af-2a0a7e15ece3,Speed Bump,Speed Bump,event,0.7426057629925864,ML_Ensemble(RF+XGB),Dipelajari dari data (Confidence: 74%),True,1.0,0.33996555288868463,medium
8,1775972966.12,-6.8922577,109.4448662,50.24565,-34.65875531662826,5.123630393661444,-3.5342094718000805,1.897592157635236,18.682701,0.019999980926513672,42.79464859003137,normal,1,4,0.0,0.0,0.21047877372685322,8627.066989941892,215.06268697233503,40.11419680131427,0.1,0.0,0.019999980926513672,4279.468940222753,54.57860604342228,6.354639253024046,0.48756218905472637,3.0556751962344846,-1.142821871381265,52.18726321284163,134.17172380612433,28.70369995336905,0.3889587264995755,178e7720-4939-4df4-b9af-2a0a7e15ece3,Pothole,Pothole,event,0.7621995690881815,ML_Ensemble(RF+XGB),Dipelajari dari data (Confidence: 76%),True,1.0,0.28753331989411307,low
9,1775973032.32,-6.8934909,109.4529924,83.436745,-38.79313580891263,8.50818016346051,-3.955798953660285,2.1151312822730413,9.682491,0.1099998950958252,39.35475707175135,normal,1,4,0.0,0.0,0.05054305878630664,13263.624000700434,231.91381743487747,57.19203836240972,0.1,0.0,0.1099998950958252,3935.479460340819,59.492470449233586,10.413291429653642,0.4427860696517413,2.5976677787980353,-0.986246732878094,53.92073295893387,150.83692717453886,27.156157301404757,0.35747700255828757,178e7720-4939-4df4-b9af-2a0a7e15ece3,Non-Event,Non-Event,condition_like,0.9506133875960567,ML_Ensemble(RF+XGB),Dipelajari dari data (Confidence: 95%),False,1.0,0.35330673482950226,medium
