event_id,trip_id,label,labeled_at
0,178e7720-4939-4df4-b9af-2a0a7e15ece3,Non-Event,2026-05-06 23:45:50
1,178e7720-4939-4df4-b9af-2a0a7e15ece3,Non-Event,2026-05-06 23:45:50
2,178e7720-4939-4df4-b9af-2a0a7e15ece3,Speed Bump,2026-05-06 23:45:50
3,178e7720-4939-4df4-b9af-2a0a7e15ece3,Non-Event,2026-05-06 23:45:50
4,178e7720-4939-4df4-b9af-2a0a7e15ece3,Non-Event,2026-05-06 23:45:50
5,178e7720-4939-4df4-b9af-2a0a7e15ece3,Non-Event,2026-05-06 23:45:50
6,178e7720-4939-4df4-b9af-2a0a7e15ece3,Non-Event,2026-05-06 23:45:50
7,178e7720-4939-4df4-b9af-2a0a7e15ece3,Speed Bump,2026-05-06 23:45:50
8,178e7720-4939-4df4-b9af-2a0a7e15ece3,Pothole,2026-05-06 23:45:50
9,178e7720-4939-4df4-b9af-2a0a7e15ece3,Non-Event,2026-05-06 23:45:50
10,178e7720-4939-4df4-b9af-2a0a7e15ece3,Non-Event,2026-05-06 23:45:50
11,178e7720-4939-4df4-b9af-2a0a7e15ece3,Non-Event,2026-05-06 23:45:50
12,178e7720-4939-4df4-b9af-2a0a7e15ece3,Non-Event,2026-05-06 23:45:50
13,178e7720-4939-4df4-b9af-2a0a7e15ece3,Non-Event,2026-05-06 23:45:50
14,178e7720-4939-4df4-b9af-2a0a7e15ece3,Speed Bump,2026-05-06 23:45:50
15,178e7720-4939-4df4-b9af-2a0a7e15ece3,Pothole,2026-05-06 23:45:50
16,178e7720-4939-4df4-b9af-2a0a7e15ece3,Pothole,2026-05-06 23:45:50
17,178e7720-4939-4df4-b9af-2a0a7e15ece3,Pothole,2026-05-06 23:45:50
18,178e7720-4939-4df4-b9af-2a0a7e15ece3,Pothole,2026-05-06 23:45:50
19,178e7720-4939-4df4-b9af-2a0a7e15ece3,Pothole,2026-05-06 23:45:50
20,178e7720-4939-4df4-b9af-2a0a7e15ece3,Non-Event,2026-05-06 23:45:50
21,178e7720-4939-4df4-b9af-2a0a7e15ece3,Non-Event,2026-05-06 23:45:50
22,178e7720-4939-4df4-b9af-2a0a7e15ece3,Non-Event,2026-05-06 23:45:50
23,178e7720-4939-4df4-b9af-2a0a7e15ece3,Non-Event,2026-05-06 23:45:50
24,178e7720-4939-4df4-b9af-2a0a7e15ece3,Non-Event,2026-05-06 23:45:50
25,178e7720-4939-4df4-b9af-2a0a7e15ece3,Non-Event,2026-05-06 23:45:50
26,178e7720-4939-4df4-b9af-2a0a7e15ece3,Non-Event,2026-05-06 23:45:50
27,178e7720-4939-4df4-b9af-2a0a7e15ece3,Non-Event,2026-05-06 23:45:50
28,178e7720-4939-4df4-b9af-2a0a7e15ece3,Pothole,2026-05-06 23:45:50
29,178e7720-4939-4df4-b9af-2a0a7e15ece3,Pothole,2026-05-06 23:45:50
30,178e7720-4939-4df4-b9af-2a0a7e15ece3,Non-Event,2026-05-06 23:45:50
31,178e7720-4939-4df4-b9af-2a0a7e15ece3,Non-Event,2026-05-06 23:45:50
32,178e7720-4939-4df4-b9af-2a0a7e15ece3,Speed Bump,2026-05-06 23:45:50
33,178e7720-4939-4df4-b9af-2a0a7e15ece3,Non-Event,2026-05-06 23:45:50
34,178e7720-4939-4df4-b9af-2a0a7e15ece3,Non-Event,2026-05-06 23:45:50
35,178e7720-4939-4df4-b9af-2a0a7e15ece3,Non-Event,2026-05-06 23:45:50
36,178e7720-4939-4df4-b9af-2a0a7e15ece3,Pothole,2026-05-06 23:45:50
37,178e7720-4939-4df4-b9af-2a0a7e15ece3,Non-Event,2026-05-06 23:45:50
38,178e7720-4939-4df4-b9af-2a0a7e15ece3,Non-Event,2026-05-06 23:45:50
39,178e7720-4939-4df4-b9af-2a0a7e15ece3,Non-Event,2026-05-06 23:45:50
40,178e7720-4939-4df4-b9af-2a0a7e15ece3,Non-Event,2026-05-06 23:45:50
41,178e7720-4939-4df4-b9af-2a0a7e15ece3,Non-Event,2026-05-06 23:45:50
