event_id,cnn_prediction,ground_truth,non_event_prob,event_id_on_trip,trip_id,time_s,lat,lon
120,Non-Event,Speed Bump,0.9442188,121,bf026662-aa33-4c79-b34d-296f7893c390,1779784001.52,-6.8961183,109.4102017
509,Non-Event,Speed Bump,0.87785256,126,fe628252-e600-47d4-875d-7c6f005a735e,1779785670.64,-6.8950151,109.4099843
4517,Non-Event,Speed Bump,0.7459948,216,3b5e0799-8d49-4156-abbe-c765e952e601,1780723864.38,-6.9790717,110.4093283
3463,Non-Event,Pothole,0.74564534,61,5f55e871-61cf-46f4-85b8-4f2cab7c3d36,1779960230.99,-6.9487888,109.5120545
1298,Non-Event,Pothole,0.74309933,32,be5b69cb-890c-4018-87e3-886e6d92e8cc,1779866782.74,-6.8473187,109.4343031
989,Non-Event,Pothole,0.7078362,116,dfb4f7d0-1b39-4322-9c7f-fb304e5d8530,1779865921.74,-6.8370041,109.4508191
4355,Non-Event,Speed Bump,0.7038482,54,3b5e0799-8d49-4156-abbe-c765e952e601,1780723265.36,-6.9812409,110.4084327
123,Non-Event,Speed Bump,0.69547594,124,bf026662-aa33-4c79-b34d-296f7893c390,1779784010.69,-6.8960984,109.4102148
1336,Non-Event,Pothole,0.67577624,70,be5b69cb-890c-4018-87e3-886e6d92e8cc,1779866886.38,-6.8497295,109.4256013
1321,Non-Event,Speed Bump,0.66894025,55,be5b69cb-890c-4018-87e3-886e6d92e8cc,1779866842.34,-6.8487935,109.4294974
2293,Non-Event,Pothole,0.65690637,315,ed73870a-3468-4be8-9919-dd504a197a50,1779869971.22,-6.8349607,109.499822
4492,Non-Event,Speed Bump,0.6504233,191,3b5e0799-8d49-4156-abbe-c765e952e601,1780723769.81,-6.9813417,110.408989
424,Non-Event,Pothole,0.6445446,41,fe628252-e600-47d4-875d-7c6f005a735e,1779785371.17,-6.9090164,109.4066875
1307,Non-Event,Pothole,0.6346906,41,be5b69cb-890c-4018-87e3-886e6d92e8cc,1779866806.04,-6.8480933,109.4319255
22,Non-Event,Speed Bump,0.62130237,23,bf026662-aa33-4c79-b34d-296f7893c390,1779783643.29,-6.8951083,109.4073016
895,Non-Event,Pothole,0.6107816,22,dfb4f7d0-1b39-4322-9c7f-fb304e5d8530,1779865684.47,-6.8431951,109.4526176
4502,Non-Event,Pothole,0.6107565,201,3b5e0799-8d49-4156-abbe-c765e952e601,1780723800.45,-6.9802542,110.4083288
15,Non-Event,Speed Bump,0.6088854,16,bf026662-aa33-4c79-b34d-296f7893c390,1779783619.35,-6.8952177,109.4090282
3099,Non-Event,Pothole,0.60488045,140,be39b43a-973e-43aa-b09c-bf700836bc0b,1779958504.98,-6.9552883,109.5079917
1301,Non-Event,Pothole,0.60430056,35,be5b69cb-890c-4018-87e3-886e6d92e8cc,1779866789.53,-6.8476155,109.433524
510,Non-Event,Speed Bump,0.5958183,127,fe628252-e600-47d4-875d-7c6f005a735e,1779785671.76,-6.8950151,109.4099843
178,Non-Event,Speed Bump,0.5931842,179,bf026662-aa33-4c79-b34d-296f7893c390,1779784193.01,-6.896347,109.4101605
4254,Non-Event,Speed Bump,0.5907264,143,b2b0d8ca-c7d3-46d5-ab8e-85502ef48faa,1780380823.85,-6.8913735,109.377993
2168,Non-Event,Pothole,0.5889827,190,ed73870a-3468-4be8-9919-dd504a197a50,1779869587.61,-6.8230478,109.5164617
4404,Non-Event,Speed Bump,0.5852035,103,3b5e0799-8d49-4156-abbe-c765e952e601,1780723444.22,-6.9815022,110.409442
1323,Non-Event,Pothole,0.5810441,57,be5b69cb-890c-4018-87e3-886e6d92e8cc,1779866846.59,-6.8489739,109.4287408
3409,Non-Event,Pothole,0.5776375,7,5f55e871-61cf-46f4-85b8-4f2cab7c3d36,1779960050.02,-6.9555967,109.5076367
894,Non-Event,Pothole,0.5773591,21,dfb4f7d0-1b39-4322-9c7f-fb304e5d8530,1779865682.84,-6.8431951,109.4526176
171,Non-Event,Speed Bump,0.57225305,172,bf026662-aa33-4c79-b34d-296f7893c390,1779784166.37,-6.8977667,109.4106963
3750,Non-Event,Pothole,0.5704796,77,690b686e-8ba1-405d-bd2f-84f6516c0890,1779961231.06,-6.9027517,109.4968816
4147,Non-Event,Speed Bump,0.559623,36,b2b0d8ca-c7d3-46d5-ab8e-85502ef48faa,1780380474.26,-6.8977581,109.3850668
4569,Non-Event,Speed Bump,0.5557082,268,3b5e0799-8d49-4156-abbe-c765e952e601,1780724046.27,-6.9816685,110.4094597
4406,Non-Event,Speed Bump,0.52698624,105,3b5e0799-8d49-4156-abbe-c765e952e601,1780723449.89,-6.9815025,110.4094426
135,Non-Event,Speed Bump,0.52237034,136,bf026662-aa33-4c79-b34d-296f7893c390,1779784044.75,-6.8958516,109.4099911
602,Non-Event,Pothole,0.51892775,83,7fe6874a-33f5-4a42-bc51-972d099b647a,1779864753.08,-6.8758095,109.4379332
3149,Non-Event,Pothole,0.51467144,190,be39b43a-973e-43aa-b09c-bf700836bc0b,1779958674.58,-6.9625317,109.5003067
3413,Non-Event,Pothole,0.5144492,11,5f55e871-61cf-46f4-85b8-4f2cab7c3d36,1779960068.07,-6.9555322,109.5078805
3106,Non-Event,Pothole,0.51174676,147,be39b43a-973e-43aa-b09c-bf700836bc0b,1779958531.12,-6.955935,109.5073983
4322,Non-Event,Pothole,0.50909126,21,3b5e0799-8d49-4156-abbe-c765e952e601,1780723158.7,-6.98046,110.408205
493,Non-Event,Speed Bump,0.5010559,110,fe628252-e600-47d4-875d-7c6f005a735e,1779785605.19,-6.8951667,109.4124433
3098,Non-Event,Pothole,0.4982235,139,be39b43a-973e-43aa-b09c-bf700836bc0b,1779958504.02,-6.9552883,109.5079917
3753,Non-Event,Pothole,0.49086177,80,690b686e-8ba1-405d-bd2f-84f6516c0890,1779961236.23,-6.9017667,109.4970767
1560,Non-Event,Pothole,0.48955968,70,d4df5c85-fa57-4561-9857-ec3b64f8ef1c,1779867862.56,-6.873915,109.4489282
3752,Non-Event,Pothole,0.48674992,79,690b686e-8ba1-405d-bd2f-84f6516c0890,1779961235.09,-6.9017667,109.4970767
560,Non-Event,Speed Bump,0.4794529,41,7fe6874a-33f5-4a42-bc51-972d099b647a,1779864620.94,-6.8808308,109.4368092
2028,Non-Event,Pothole,0.4678522,50,ed73870a-3468-4be8-9919-dd504a197a50,1779869225.25,-6.8265762,109.5133304
