event_id,cnn_prediction,ground_truth,pothole_prob,event_id_on_trip,trip_id,time_s,lat,lon
904,Non-Event,Non-Event,0.43906194,31,dfb4f7d0-1b39-4322-9c7f-fb304e5d8530,1779865713.69,-6.8408206,109.4520302
77,Non-Event,Non-Event,0.43839598,78,bf026662-aa33-4c79-b34d-296f7893c390,1779783839.06,-6.8970568,109.4107804
2186,Non-Event,Non-Event,0.4380621,208,ed73870a-3468-4be8-9919-dd504a197a50,1779869636.79,-6.8254124,109.513857
1173,Non-Event,Non-Event,0.43779224,300,dfb4f7d0-1b39-4322-9c7f-fb304e5d8530,1779866365.49,-6.836575,109.451715
965,Non-Event,Non-Event,0.43706483,92,dfb4f7d0-1b39-4322-9c7f-fb304e5d8530,1779865870.1,-6.8385204,109.4480298
2125,Non-Event,Non-Event,0.43139657,147,ed73870a-3468-4be8-9919-dd504a197a50,1779869478.43,-6.8181232,109.514591
1975,Non-Event,Non-Event,0.43117282,485,d4df5c85-fa57-4561-9857-ec3b64f8ef1c,1779869055.28,-6.8329991,109.510426
1189,Non-Event,Non-Event,0.43007916,316,dfb4f7d0-1b39-4322-9c7f-fb304e5d8530,1779866397.58,-6.8371664,109.4507335
1615,Non-Event,Non-Event,0.42727947,125,d4df5c85-fa57-4561-9857-ec3b64f8ef1c,1779868027.59,-6.8640067,109.4531167
2072,Non-Event,Non-Event,0.4179164,94,ed73870a-3468-4be8-9919-dd504a197a50,1779869357.98,-6.8226242,109.5175462
1992,Non-Event,Non-Event,0.41666815,14,ed73870a-3468-4be8-9919-dd504a197a50,1779869118.84,-6.8312337,109.5104916
2194,Non-Event,Non-Event,0.41446513,216,ed73870a-3468-4be8-9919-dd504a197a50,1779869663.77,-6.827007,109.512862
1219,Non-Event,Non-Event,0.41382998,346,dfb4f7d0-1b39-4322-9c7f-fb304e5d8530,1779866487.14,-6.8424548,109.450719
1097,Non-Event,Non-Event,0.41355827,224,dfb4f7d0-1b39-4322-9c7f-fb304e5d8530,1779866171.5,-6.8326364,109.4598821
4408,Non-Event,Non-Event,0.41308472,107,3b5e0799-8d49-4156-abbe-c765e952e601,1780723457.92,-6.9812083,110.4082885
976,Non-Event,Non-Event,0.41274437,103,dfb4f7d0-1b39-4322-9c7f-fb304e5d8530,1779865888.63,-6.8380845,109.4487947
934,Non-Event,Non-Event,0.4089862,61,dfb4f7d0-1b39-4322-9c7f-fb304e5d8530,1779865809.43,-6.8375345,109.4498886
964,Non-Event,Non-Event,0.40884164,91,dfb4f7d0-1b39-4322-9c7f-fb304e5d8530,1779865869.07,-6.8385204,109.4480298
974,Non-Event,Non-Event,0.4049972,101,dfb4f7d0-1b39-4322-9c7f-fb304e5d8530,1779865884.57,-6.8380845,109.4487947
728,Non-Event,Non-Event,0.40304404,209,7fe6874a-33f5-4a42-bc51-972d099b647a,1779865107.01,-6.8720563,109.4418279
155,Non-Event,Non-Event,0.40181962,156,bf026662-aa33-4c79-b34d-296f7893c390,1779784110.15,-6.8953429,109.4102695
1045,Non-Event,Non-Event,0.4014828,172,dfb4f7d0-1b39-4322-9c7f-fb304e5d8530,1779866059.73,-6.8327783,109.4595
1130,Non-Event,Non-Event,0.39877754,257,dfb4f7d0-1b39-4322-9c7f-fb304e5d8530,1779866253.28,-6.8324683,109.45666
744,Non-Event,Non-Event,0.39843002,225,7fe6874a-33f5-4a42-bc51-972d099b647a,1779865148.55,-6.8728975,109.4451305
601,Non-Event,Non-Event,0.39580265,82,7fe6874a-33f5-4a42-bc51-972d099b647a,1779864751.34,-6.8758095,109.4379332
1932,Non-Event,Non-Event,0.39400804,442,d4df5c85-fa57-4561-9857-ec3b64f8ef1c,1779868935.99,-6.8353893,109.5068997
2291,Non-Event,Non-Event,0.39341503,313,ed73870a-3468-4be8-9919-dd504a197a50,1779869967.32,-6.8349607,109.499822
975,Non-Event,Non-Event,0.39193788,102,dfb4f7d0-1b39-4322-9c7f-fb304e5d8530,1779865885.52,-6.8380845,109.4487947
1180,Non-Event,Non-Event,0.39177436,307,dfb4f7d0-1b39-4322-9c7f-fb304e5d8530,1779866376.19,-6.8368633,109.45113
987,Non-Event,Non-Event,0.39168325,114,dfb4f7d0-1b39-4322-9c7f-fb304e5d8530,1779865916.42,-6.8372853,109.450287
2696,Non-Event,Non-Event,0.39090595,73,eca4890f-8ce7-4817-a8f7-a26c3141d9cd,1779955771.14,-6.8786546,109.5070924
2284,Non-Event,Non-Event,0.3900158,306,ed73870a-3468-4be8-9919-dd504a197a50,1779869953.87,-6.834375,109.5009133
2719,Non-Event,Non-Event,0.38841212,96,eca4890f-8ce7-4817-a8f7-a26c3141d9cd,1779955840.2,-6.8738425,109.5074383
2187,Non-Event,Non-Event,0.38831514,209,ed73870a-3468-4be8-9919-dd504a197a50,1779869641.26,-6.8254124,109.513857
1882,Non-Event,Non-Event,0.38728383,392,d4df5c85-fa57-4561-9857-ec3b64f8ef1c,1779868801.4,-6.8356333,109.49895
2122,Non-Event,Non-Event,0.3848382,144,ed73870a-3468-4be8-9919-dd504a197a50,1779869474.26,-6.8181232,109.514591
678,Non-Event,Non-Event,0.38417637,159,7fe6874a-33f5-4a42-bc51-972d099b647a,1779864986.72,-6.8773733,109.4363367
1841,Non-Event,Non-Event,0.3839537,351,d4df5c85-fa57-4561-9857-ec3b64f8ef1c,1779868671.7,-6.8428834,109.4936946
921,Non-Event,Non-Event,0.38190138,48,dfb4f7d0-1b39-4322-9c7f-fb304e5d8530,1779865774.24,-6.83758,109.4509563
4229,Non-Event,Non-Event,0.381136,118,b2b0d8ca-c7d3-46d5-ab8e-85502ef48faa,1780380750.57,-6.890222,109.3758218
3471,Non-Event,Non-Event,0.38049027,69,5f55e871-61cf-46f4-85b8-4f2cab7c3d36,1779960252.89,-6.9460015,109.513073
777,Non-Event,Non-Event,0.37712538,258,7fe6874a-33f5-4a42-bc51-972d099b647a,1779865226.88,-6.8735452,109.4513389
3155,Non-Event,Non-Event,0.37665924,196,be39b43a-973e-43aa-b09c-bf700836bc0b,1779958692.59,-6.9635153,109.4990974
4653,Non-Event,Non-Event,0.37404087,59,f9990ae9-48ad-476b-98a3-629620bf76ae,1780724584.43,-6.981005,110.4028283
1060,Non-Event,Non-Event,0.3708932,187,dfb4f7d0-1b39-4322-9c7f-fb304e5d8530,1779866083.75,-6.8321787,109.4608497
1169,Non-Event,Non-Event,0.3692187,296,dfb4f7d0-1b39-4322-9c7f-fb304e5d8530,1779866358.33,-6.8360767,109.4528041
611,Non-Event,Non-Event,0.3671791,92,7fe6874a-33f5-4a42-bc51-972d099b647a,1779864769.58,-6.8763245,109.4372679
4059,Non-Event,Non-Event,0.36695483,264,f5d44722-1c89-4654-a61d-938f66c416e4,1779962951.42,-6.8978943,109.4113893
1618,Non-Event,Non-Event,0.36686245,128,d4df5c85-fa57-4561-9857-ec3b64f8ef1c,1779868033.61,-6.8640067,109.4531167
995,Non-Event,Non-Event,0.36658892,122,dfb4f7d0-1b39-4322-9c7f-fb304e5d8530,1779865929.29,-6.8370041,109.4508191
3990,Non-Event,Non-Event,0.36517185,195,f5d44722-1c89-4654-a61d-938f66c416e4,1779962744.07,-6.9095217,109.4079733
864,Non-Event,Non-Event,0.36409456,345,7fe6874a-33f5-4a42-bc51-972d099b647a,1779865510.76,-6.8529091,109.4531985
819,Non-Event,Non-Event,0.36053833,300,7fe6874a-33f5-4a42-bc51-972d099b647a,1779865383.04,-6.8615739,109.4532762
137,Non-Event,Non-Event,0.3604723,138,bf026662-aa33-4c79-b34d-296f7893c390,1779784047.49,-6.8958516,109.4099911
3046,Non-Event,Non-Event,0.3587735,87,be39b43a-973e-43aa-b09c-bf700836bc0b,1779958321.73,-6.9479181,109.5124354
684,Non-Event,Non-Event,0.35657454,165,7fe6874a-33f5-4a42-bc51-972d099b647a,1779865000.46,-6.8769733,109.4368617
881,Non-Event,Non-Event,0.35637578,8,dfb4f7d0-1b39-4322-9c7f-fb304e5d8530,1779865646.11,-6.84638,109.4531317
1554,Non-Event,Non-Event,0.35621238,64,d4df5c85-fa57-4561-9857-ec3b64f8ef1c,1779867839.11,-6.8755696,109.4488843
988,Non-Event,Non-Event,0.3549009,115,dfb4f7d0-1b39-4322-9c7f-fb304e5d8530,1779865919.42,-6.8370041,109.4508191
773,Non-Event,Non-Event,0.35436234,254,7fe6874a-33f5-4a42-bc51-972d099b647a,1779865216.61,-6.8735118,109.450446
1951,Non-Event,Non-Event,0.35333973,461,d4df5c85-fa57-4561-9857-ec3b64f8ef1c,1779868992.76,-6.8347733,109.50812
1953,Non-Event,Non-Event,0.35322464,463,d4df5c85-fa57-4561-9857-ec3b64f8ef1c,1779868996.39,-6.8347733,109.50812
725,Non-Event,Non-Event,0.35197547,206,7fe6874a-33f5-4a42-bc51-972d099b647a,1779865094.09,-6.8718059,109.4409313
1026,Non-Event,Non-Event,0.35196522,153,dfb4f7d0-1b39-4322-9c7f-fb304e5d8530,1779866002.28,-6.8345131,109.4560945
984,Non-Event,Non-Event,0.3499105,111,dfb4f7d0-1b39-4322-9c7f-fb304e5d8530,1779865901.4,-6.8375777,109.4497579
1383,Non-Event,Non-Event,0.3477841,117,be5b69cb-890c-4018-87e3-886e6d92e8cc,1779867042.92,-6.8547555,109.4207122
2851,Non-Event,Non-Event,0.34719378,228,eca4890f-8ce7-4817-a8f7-a26c3141d9cd,1779956317.48,-6.8544995,109.4960945
604,Non-Event,Non-Event,0.34700012,85,7fe6874a-33f5-4a42-bc51-972d099b647a,1779864756.91,-6.8758095,109.4379332
749,Non-Event,Non-Event,0.34629792,230,7fe6874a-33f5-4a42-bc51-972d099b647a,1779865157.4,-6.8730164,109.4458802
935,Non-Event,Non-Event,0.34591848,62,dfb4f7d0-1b39-4322-9c7f-fb304e5d8530,1779865811.95,-6.8375345,109.4498886
213,Non-Event,Non-Event,0.3458757,18,16b2f79d-1072-47bc-857d-326afb027ea2,1779784418.97,-6.8953607,109.4107299
966,Non-Event,Non-Event,0.34522653,93,dfb4f7d0-1b39-4322-9c7f-fb304e5d8530,1779865872.07,-6.8385204,109.4480298
2982,Non-Event,Non-Event,0.3445626,23,be39b43a-973e-43aa-b09c-bf700836bc0b,1779958124.18,-6.9324383,109.5200433
1529,Non-Event,Non-Event,0.3430176,39,d4df5c85-fa57-4561-9857-ec3b64f8ef1c,1779867782.34,-6.8808333,109.4476267
688,Non-Event,Non-Event,0.3427046,169,7fe6874a-33f5-4a42-bc51-972d099b647a,1779865011.06,-6.8760125,109.43757835
2216,Non-Event,Non-Event,0.34182227,238,ed73870a-3468-4be8-9919-dd504a197a50,1779869724.09,-6.8291538,109.5107562
2132,Non-Event,Non-Event,0.34167692,154,ed73870a-3468-4be8-9919-dd504a197a50,1779869491.86,-6.8189127,109.51548275
2115,Non-Event,Non-Event,0.34053245,137,ed73870a-3468-4be8-9919-dd504a197a50,1779869461.26,-6.8182813,109.5149605
2137,Non-Event,Non-Event,0.34046695,159,ed73870a-3468-4be8-9919-dd504a197a50,1779869498.42,-6.8191037,109.5156341
756,Non-Event,Non-Event,0.3400153,237,7fe6874a-33f5-4a42-bc51-972d099b647a,1779865171.24,-6.8731801,109.4466696
