trip_id,label,cnn_prediction,cnn_confidence
be39b43a-973e-43aa-b09c-bf700836bc0b,Non-Event,Speed Bump,0.99999654
be5b69cb-890c-4018-87e3-886e6d92e8cc,Non-Event,Speed Bump,0.9887332
be39b43a-973e-43aa-b09c-bf700836bc0b,Non-Event,Speed Bump,0.89019644
5f55e871-61cf-46f4-85b8-4f2cab7c3d36,Non-Event,Pothole,0.83154273
bf026662-aa33-4c79-b34d-296f7893c390,Non-Event,Speed Bump,0.79352146
be39b43a-973e-43aa-b09c-bf700836bc0b,Non-Event,Speed Bump,0.7502029
be39b43a-973e-43aa-b09c-bf700836bc0b,Non-Event,Speed Bump,0.72183025
be5b69cb-890c-4018-87e3-886e6d92e8cc,Non-Event,Pothole,0.7101901
bf026662-aa33-4c79-b34d-296f7893c390,Non-Event,Pothole,0.70173705
be5b69cb-890c-4018-87e3-886e6d92e8cc,Non-Event,Pothole,0.67730093
be39b43a-973e-43aa-b09c-bf700836bc0b,Non-Event,Pothole,0.6665362
be39b43a-973e-43aa-b09c-bf700836bc0b,Non-Event,Speed Bump,0.6627926
b2b0d8ca-c7d3-46d5-ab8e-85502ef48faa,Non-Event,Pothole,0.6502642
5f55e871-61cf-46f4-85b8-4f2cab7c3d36,Non-Event,Pothole,0.63264424
5f55e871-61cf-46f4-85b8-4f2cab7c3d36,Non-Event,Pothole,0.60698766
be39b43a-973e-43aa-b09c-bf700836bc0b,Non-Event,Pothole,0.5943073
be39b43a-973e-43aa-b09c-bf700836bc0b,Non-Event,Pothole,0.58600247
5f55e871-61cf-46f4-85b8-4f2cab7c3d36,Non-Event,Pothole,0.58533674
be5b69cb-890c-4018-87e3-886e6d92e8cc,Non-Event,Pothole,0.57798153
bf026662-aa33-4c79-b34d-296f7893c390,Non-Event,Speed Bump,0.5733164
5f55e871-61cf-46f4-85b8-4f2cab7c3d36,Non-Event,Pothole,0.5702876
be39b43a-973e-43aa-b09c-bf700836bc0b,Non-Event,Speed Bump,0.5648899
be39b43a-973e-43aa-b09c-bf700836bc0b,Non-Event,Pothole,0.5503858
b2b0d8ca-c7d3-46d5-ab8e-85502ef48faa,Non-Event,Speed Bump,0.5473804
be39b43a-973e-43aa-b09c-bf700836bc0b,Non-Event,Speed Bump,0.5412899
be39b43a-973e-43aa-b09c-bf700836bc0b,Non-Event,Pothole,0.5383042
bf026662-aa33-4c79-b34d-296f7893c390,Non-Event,Pothole,0.53319895
be5b69cb-890c-4018-87e3-886e6d92e8cc,Non-Event,Speed Bump,0.5257215
be39b43a-973e-43aa-b09c-bf700836bc0b,Non-Event,Pothole,0.51119155
fe628252-e600-47d4-875d-7c6f005a735e,Non-Event,Speed Bump,0.51071626
be39b43a-973e-43aa-b09c-bf700836bc0b,Non-Event,Pothole,0.5065258
be39b43a-973e-43aa-b09c-bf700836bc0b,Non-Event,Speed Bump,0.5029578
be39b43a-973e-43aa-b09c-bf700836bc0b,Non-Event,Speed Bump,0.50041837
be5b69cb-890c-4018-87e3-886e6d92e8cc,Non-Event,Pothole,0.49913335
5f55e871-61cf-46f4-85b8-4f2cab7c3d36,Non-Event,Speed Bump,0.49900505
be39b43a-973e-43aa-b09c-bf700836bc0b,Non-Event,Speed Bump,0.49182364
be39b43a-973e-43aa-b09c-bf700836bc0b,Non-Event,Pothole,0.48215646
b2b0d8ca-c7d3-46d5-ab8e-85502ef48faa,Non-Event,Pothole,0.47108585
be39b43a-973e-43aa-b09c-bf700836bc0b,Non-Event,Pothole,0.46138853
5f55e871-61cf-46f4-85b8-4f2cab7c3d36,Non-Event,Speed Bump,0.46052054
bf026662-aa33-4c79-b34d-296f7893c390,Non-Event,Speed Bump,0.45502344
be5b69cb-890c-4018-87e3-886e6d92e8cc,Non-Event,Pothole,0.45324677
b2b0d8ca-c7d3-46d5-ab8e-85502ef48faa,Non-Event,Speed Bump,0.45315835
be39b43a-973e-43aa-b09c-bf700836bc0b,Non-Event,Pothole,0.4497574
be5b69cb-890c-4018-87e3-886e6d92e8cc,Non-Event,Pothole,0.44736648
be39b43a-973e-43aa-b09c-bf700836bc0b,Non-Event,Speed Bump,0.43846515
bf026662-aa33-4c79-b34d-296f7893c390,Non-Event,Speed Bump,0.43778443
b2b0d8ca-c7d3-46d5-ab8e-85502ef48faa,Non-Event,Pothole,0.43617404
b2b0d8ca-c7d3-46d5-ab8e-85502ef48faa,Non-Event,Speed Bump,0.428734
be5b69cb-890c-4018-87e3-886e6d92e8cc,Non-Event,Speed Bump,0.4280411
b2b0d8ca-c7d3-46d5-ab8e-85502ef48faa,Non-Event,Pothole,0.42420378
b2b0d8ca-c7d3-46d5-ab8e-85502ef48faa,Non-Event,Speed Bump,0.42305523
be5b69cb-890c-4018-87e3-886e6d92e8cc,Non-Event,Pothole,0.41970515
5f55e871-61cf-46f4-85b8-4f2cab7c3d36,Non-Event,Pothole,0.41783988
bf026662-aa33-4c79-b34d-296f7893c390,Non-Event,Pothole,0.40860155
be39b43a-973e-43aa-b09c-bf700836bc0b,Non-Event,Pothole,0.3994703
b2b0d8ca-c7d3-46d5-ab8e-85502ef48faa,Non-Event,Pothole,0.3808515
be39b43a-973e-43aa-b09c-bf700836bc0b,Non-Event,Speed Bump,0.38009343
