feature,class_a,class_b,cohen_d,abs_cohen_d
accel_to_gyro_ratio,Non-Event,Pothole,0.9342529576268416,0.9342529576268416
accel_to_gyro_ratio,Non-Event,Speed Bump,0.6038905623308556,0.6038905623308556
accel_to_gyro_ratio,Pothole,Speed Bump,-0.3749755802203673,0.3749755802203673
asymmetry_score,Pothole,Speed Bump,0.2560646706159939,0.2560646706159939
asymmetry_score,Non-Event,Pothole,-0.17561930618283172,0.17561930618283172
asymmetry_score,Non-Event,Speed Bump,0.05325355834126802,0.05325355834126802
event_duration,Non-Event,Pothole,-0.10263686282728379,0.10263686282728379
event_duration,Pothole,Speed Bump,0.06572082245222961,0.06572082245222961
event_duration,Non-Event,Speed Bump,-0.03091589072179399,0.03091589072179399
fft_high_low_ratio,Non-Event,Speed Bump,0.8587004000704027,0.8587004000704027
fft_high_low_ratio,Non-Event,Pothole,0.7136359392850193,0.7136359392850193
fft_high_low_ratio,Pothole,Speed Bump,0.2578047368875006,0.2578047368875006
gyro_energy,Non-Event,Speed Bump,-0.9159949142860943,0.9159949142860943
gyro_energy,Non-Event,Pothole,-0.6161543623845882,0.6161543623845882
gyro_energy,Pothole,Speed Bump,-0.2507737424233249,0.2507737424233249
gyro_pitch_energy,Non-Event,Pothole,-0.5942935893953326,0.5942935893953326
gyro_pitch_energy,Non-Event,Speed Bump,-0.37780326875074877,0.37780326875074877
gyro_pitch_energy,Pothole,Speed Bump,0.216131800326137,0.216131800326137
gyro_pitch_roll_ratio,Pothole,Speed Bump,1.0683385071684988,1.0683385071684988
gyro_pitch_roll_ratio,Non-Event,Speed Bump,0.8999819852973096,0.8999819852973096
gyro_pitch_roll_ratio,Non-Event,Pothole,0.17986585048133125,0.17986585048133125
gyro_roll_energy,Non-Event,Speed Bump,-1.0156608387263966,1.0156608387263966
gyro_roll_energy,Non-Event,Pothole,-0.5754702771832351,0.5754702771832351
gyro_roll_energy,Pothole,Speed Bump,-0.3991347836497527,0.3991347836497527
gyro_yaw_energy,Non-Event,Speed Bump,-0.8882509213290398,0.8882509213290398
gyro_yaw_energy,Non-Event,Pothole,-0.4112120594324773,0.4112120594324773
gyro_yaw_energy,Pothole,Speed Bump,-0.35681998528838105,0.35681998528838105
kurtosis,Non-Event,Speed Bump,-1.6886512512325917,1.6886512512325917
kurtosis,Non-Event,Pothole,-1.2915988223205324,1.2915988223205324
kurtosis,Pothole,Speed Bump,-0.1259929123302303,0.1259929123302303
local_duration,Non-Event,Pothole,0.31310270404785673,0.31310270404785673
local_duration,Pothole,Speed Bump,-0.28292233235047126,0.28292233235047126
local_duration,Non-Event,Speed Bump,0.10622053042505891,0.10622053042505891
num_peaks_accel,Pothole,Speed Bump,-0.5909368402852788,0.5909368402852788
num_peaks_accel,Non-Event,Speed Bump,-0.3843930699774324,0.3843930699774324
num_peaks_accel,Non-Event,Pothole,0.16989190339341284,0.16989190339341284
num_peaks_gyro,Pothole,Speed Bump,0.5315023602109902,0.5315023602109902
num_peaks_gyro,Non-Event,Speed Bump,0.2525391428657098,0.2525391428657098
num_peaks_gyro,Non-Event,Pothole,-0.08905457458249096,0.08905457458249096
peak_gyro_mag,Non-Event,Pothole,-1.2881984552972652,1.2881984552972652
peak_gyro_mag,Pothole,Speed Bump,1.094275817471833,1.094275817471833
peak_gyro_mag,Non-Event,Speed Bump,0.027181292332384824,0.027181292332384824
peak_interval_mean,Pothole,Speed Bump,-0.12985967181043886,0.12985967181043886
peak_interval_mean,Non-Event,Speed Bump,-0.10692311804605398,0.10692311804605398
peak_interval_mean,Non-Event,Pothole,0.008885872693089561,0.008885872693089561
peak_interval_std,Pothole,Speed Bump,-0.9574271077563381,0.9574271077563381
peak_interval_std,Non-Event,Pothole,0.40693469956862016,0.40693469956862016
peak_interval_std,Non-Event,Speed Bump,0.31933733027409456,0.31933733027409456
peak_mag_g,Non-Event,Speed Bump,-1.1304300486014638,1.1304300486014638
peak_mag_g,Non-Event,Pothole,-0.9377184747300333,0.9377184747300333
peak_mag_g,Pothole,Speed Bump,-0.2994095338829715,0.2994095338829715
score,Non-Event,Pothole,-0.8560118061842882,0.8560118061842882
score,Non-Event,Speed Bump,-0.8507499238953566,0.8507499238953566
score,Pothole,Speed Bump,0.0821271494132503,0.0821271494132503
skewness,Non-Event,Pothole,-0.4655588422779413,0.4655588422779413
skewness,Non-Event,Speed Bump,-0.32750517830861137,0.32750517830861137
skewness,Pothole,Speed Bump,0.12543224609720693,0.12543224609720693
speed_mean,Non-Event,Pothole,0.6225181260117078,0.6225181260117078
speed_mean,Pothole,Speed Bump,-0.5066059790000451,0.5066059790000451
speed_mean,Non-Event,Speed Bump,0.19791397740051722,0.19791397740051722
zcr,Non-Event,Pothole,0.8935377996758925,0.8935377996758925
zcr,Non-Event,Speed Bump,0.7245721787435018,0.7245721787435018
zcr,Pothole,Speed Bump,-0.12797431535935208,0.12797431535935208
